book_id,isbn,isbn13,authors,original_publication_year,original_title,title,average_rating,ratings_count
45546,074347788X,9780000000000,Stephen E. Ambrose,1996.0,Undaunted Courage,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,4.22,32875
18803640,224097008,9780000000000,Helen Macdonald,2015.0,H is for Hawk,H is for Hawk,3.74,30841
21423525,034089699X,9780000000000,David Nicholls,2014.0,Us,Us,3.66,28856
66695,1560760478,9780000000000,R.A. Salvatore,1990.0,Sojourn (Dark Elf #3),"Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3)",4.23,38242
6218007,1421527553,9780000000000,"Karuho Shiina, Tomo Kimura",2006.0,君に届け 1,"Kimi ni Todoke: From Me to You, Vol. 1",4.23,37369
182425,553580221,9780000000000,Dean Koontz,1999.0,False Memory,False Memory,3.87,36882
34510,552152943,9780000000000,Terry Pratchett,1990.0,Moving Pictures,"Moving Pictures (Discworld, #10; Industrial Revolution, #1)",3.91,42892
2082136,393064646,9780000000000,Mary Roach,2008.0,Bonk: The Curious Coupling of Science and Sex,Bonk: The Curious Coupling of Science and Sex,3.83,38157
544257,451222385,9780000000000,Rachel Caine,2007.0,Midnight Alley,"Midnight Alley (The Morganville Vampires, #3)",4.11,49083
23278537,553418777,9780000000000,"Nina George, Simon Pare",2013.0,Das Lavendelzimmer ,The Little Paris Bookshop,3.51,34383
13562049,224097377,9780000000000,Ian McEwan,2012.0,Sweet Tooth,Sweet Tooth,3.4,32637
19675,6479758,9780000000000,Tom Clancy,1996.0,Executive Orders,"Executive Orders (Jack Ryan Universe, #9)",4.04,35513
8592946,310321913,9780000000000,Ann Voskamp,2011.0,One Thousand Gifts,One Thousand Gifts: A Dare to Live Fully Right Where You Are,4.03,33960
156427,747545251,9780000000000,Robert Bloch,1959.0,Psycho,Psycho,4.09,36153
45100,000649885X,9780000000000,Robin Hobb,1998.0,Ship of Magic,"Ship of Magic (Liveship Traders, #1)",4.12,37381
41977,99498596,9780000000000,Maeve Binchy,1990.0,Circle of Friends,Circle of Friends,4.0,43936
23513349,1502784270,9780000000000,Rupi Kaur,2014.0,milk and honey,Milk and Honey,4.27,73104
5720,425170349,9780000000000,Tom Clancy,1998.0,Rainbow Six,"Rainbow Six (Jack Ryan Universe, #10)",4.07,35278
16788,60515228,9780000000000,Neil Gaiman,2006.0,Fragile Things: Short Fictions and Wonders,Fragile Things: Short Fictions and Wonders,4.02,38942
8196732,749942010,9780000000000,Rosamund Lupton,2010.0,Sister,Sister,3.77,35893
20518872,765377063,9780000000000,"Liu Cixin, Ken Liu",2007.0,三体,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",4.0,33409
48002,61031321,9780000000000,Terry Pratchett,2001.0,Thief of Time,"Thief of Time (Discworld, #26; Death, #5)",4.25,42002
154798,1401201911,9780000000000,"Mark Millar, Kilian Plunkett, Andrew Robinson, Walden Wong, Dave Johnson",2003.0,Superman: Red Son,Superman: Red Son,4.17,35438
227593,385721420,9780000000000,Julia Glass,2002.0,Three Junes,Three Junes,3.56,35677
1858013,525950494,9780000000000,Timothy J. Keller,2007.0,The Reason for God: Belief in an Age of Skepticism,The Reason for God: Belief in an Age of Skepticism,4.2,31692
12891107,1937007472,9780000000000,Mark  Lawrence,2012.0,King of Thorns,"King of Thorns (The Broken Empire, #2)",4.2,33941
12160906,1250000971,9780000000000,Jeffrey Archer,2012.0,The Sins of the Father,"The Sins of the Father (The Clifton Chronicles, #2)",4.01,27456
187811,60725117,9780000000000,Meg Cabot,2000.0,Shadowland,"Shadowland (The Mediator, #1)",4.04,51580
3047849,61566128,9780000000000,Sara Shepard,2009.0,Killer ,"Killer (Pretty Little Liars, #6)",4.07,39702
6431790,316036196,9780000000000,James Patterson,2010.0,Fang,"Fang (Maximum Ride, #6)",4.07,48964
8546358,553807226,9780000000000,Sarah Addison Allen,2011.0,The Peach Keeper ,The Peach Keeper,3.84,45468
33453,60590297,9780000000000,Christopher Moore,2007.0,You Suck ,"You Suck (A Love Story, #2)",3.82,38818
77711,812515285,9780000000000,Vernor Vinge,1992.0,A Fire Upon The Deep,"A Fire Upon the Deep (Zones of Thought, #1)",4.13,37986
19469,038532328X,9780000000000,Caroline B. Cooney,1990.0,The Face on the Milk Carton,"The Face on the Milk Carton (Janie Johnson, #1)",3.72,43334
413158,067984483X,9780000000000,Robert Lopshire,1960.0,Put Me in the Zoo,Put Me in the Zoo,4.13,38809
6448470,61935085,9780000000000,Sophie Jordan,2010.0,"Firelight (Firelight, #1)","Firelight (Firelight, #1)",3.88,51815
9809,156453800,9780000000000,"Italo Calvino, William Weaver",1972.0,Le città invisibili,Invisible Cities,4.19,32253
17905709,1741666708,9780000000000,Richard Flanagan,2013.0,The Narrow Road to the Deep North,The Narrow Road to the Deep North,4.0,25197
26582,452281423,9780000000000,"A.N. Roquelaure, Anne Rice",1983.0,The Claiming of Sleeping Beauty,"The Claiming of Sleeping Beauty (Sleeping Beauty, #1)",3.28,38387
6114607,143116231,9780000000000,Jennifer Worth,2002.0, Call the midwife : a true story of the East End in the 1950s,"The Midwife: A Memoir of Birth, Joy, and Hard Times",4.17,19176
10882,222109073X,9780000000000,Hunter S. Thompson,1966.0,Hell's Angels,Hell's Angels: A Strange and Terrible Saga,4.0,27819
9758764,1451617720,9780000000000,Jennifer Weiner,2010.0,Then Came You,Then Came You,3.69,36469
395922,61020001,9780000000000,L.J. Smith,1991.0,The Awakening,"The Awakening (The Vampire Diaries, #1)",3.41,44222
73070,380776839,9780000000000,Susan Elizabeth Phillips,1994.0,It Had to Be You,"It Had to Be You (Chicago Stars, #1)",4.04,45961
13707738,393343448,9780000000000,Michael   Lewis,2011.0,Boomerang: Travels in the New Third World,Boomerang: Travels in the New Third World,3.87,15616
7227174,743294270,9780000000000,Jennifer Weiner,2010.0,Fly Away Home,Fly Away Home,3.66,37026
14662,140447644,9780000000000,"Stendhal, Roger Gard",1830.0,Le Rouge et le Noir,The Red and the Black,3.87,33346
16183,743269268,9780000000000,Philippa Gregory,2004.0,The Virgin's Lover,"The Virgin's Lover (The Plantagenet and Tudor Novels, #13)",3.69,40065
332775,340893605,9780000000000,Catherine Fisher,2007.0,Incarceron,"Incarceron (Incarceron, #1)",3.64,43524
10800916,312624689,9780000000000,C.C. Hunter,2011.0,Awake at Dawn,"Awake at Dawn (Shadow Falls, #2)",4.29,46269
9462795,62011995,9780000000000,Josephine Angelini,2011.0,Starcrossed,"Starcrossed (Starcrossed, #1)",4.08,49448
7739934,312590989,9780000000000,Alyson Noel,2010.0,Night Star,"Night Star (The Immortals, #5)",3.82,43998
67238,553282980,9780000000000,N.H. Kleinbaum,1988.0,Dead Poets Society ,Dead Poets Society,4.21,33645
63720,552154229,9780000000000,Terry Pratchett,1999.0,The Fifth Elephant,"The Fifth Elephant (Discworld, #24; City Watch, #5)",4.24,40138
1524173,1741661285,9780000000000,John Flanagan,2006.0,The Sorcerer in the North,"The Sorcerer in the North (Ranger's Apprentice, #5)",4.25,39795
639864,876120834,9780000000000,Paramahansa Yogananda,1946.0,Autobiography of a Yogi,Autobiography of a Yogi,4.22,26713
9595650,345522494,9780000000000,Kevin Hearne,2011.0,"Hexed (Iron Druid Chronicles, #2)","Hexed (The Iron Druid Chronicles, #2)",4.22,39926
1325218,590431978,9780000000000,"Alvin Schwartz, Stephen Gammell",1981.0,Scary Stories to Tell in the Dark,"Scary Stories to Tell in the Dark (Scary Stories, #1)",4.05,38879
26109394,525955097,9780000000000,Harlan Coben,2016.0,Fool Me Once,Fool Me Once,3.9,30788
27323,679721037,9780000000000,John Hersey,1946.0,Hiroshima,Hiroshima,3.94,41338
6316171,316041440,9780000000000,Jennifer Brown,2009.0,Hate List,Hate List,4.03,39677
3873,517223120,9780000000000,Karen Armstrong,1975.0,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam","A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",3.85,32506
16131032,316129070,9780000000000,James S.A. Corey,2013.0,Abaddon's Gate,"Abaddon's Gate (The Expanse, #3)",4.18,27860
5932,143039962,9780000000000,"Pablo Neruda, W.S. Merwin, Cristina García",1924.0,Veinte poemas de amor y una canción desesperada,Twenty Love Poems and a Song of Despair,4.33,31606
382549,425116840,9780000000000,Tom Clancy,1988.0,The Cardinal of the Kremlin,"The Cardinal of the Kremlin (Jack Ryan Universe, #5)",4.01,37672
1062516,590930028,9780000000000,David Shannon,1998.0,"No, David!","No, David!",4.11,36963
18414,140449108,9780000000000,"Thomas More, Paul Turner",1516.0,"Libellus vere aureus, nec minus salutaris quam festivus, de optimo rei publicae statu deque nova insula Utopia",Utopia,3.5,36680
1099301,316113662,9780000000000,"Pseudonymous Bosch, Gilbert Ford",2007.0,The Name of This Book Is Secret,"The Name of This Book Is Secret (Secret, #1)",4.04,39440
18053060,62280678,9780000000000,Danielle  Paige,2014.0,Dorothy Must Die,"Dorothy Must Die (Dorothy Must Die, #1)",3.84,44785
16429,553804790,9780000000000,Dean Koontz,2006.0,The Husband,The Husband,3.8,36233
7048800,385501129,9780000000000,Aimee Bender,2010.0,The Particular Sadness of Lemon Cake,The Particular Sadness of Lemon Cake,3.19,42885
6588,446610224,9780000000000,James Patterson,2003.0,The Big Bad Wolf  ,"The Big Bad Wolf  (Alex Cross, #9)",3.97,37060
533465,385722206,9780000000000,"Dai Sijie, Ina Rilke",2000.0,Balzac et la Petite Tailleuse chinoise,Balzac and the Little Chinese Seamstress,3.63,39927
18813642,62282719,9780000000000,Roxane Gay,2014.0,Bad Feminist ,Bad Feminist,3.91,41012
226709,671729470,9780000000000,V.C. Andrews,1980.0,Petals on the Wind,"Petals on the Wind (Dollanganger, #2)",3.82,40354
6537,425204693,9780000000000,Patricia Cornwell,1995.0,From Potter's Field,"From Potter's Field (Kay Scarpetta, #6)",4.02,41377
84736,446619035,9780000000000,James Patterson,2005.0,"Mary, Mary","Mary, Mary (Alex Cross, #11)",3.93,36926
19427193,8188575704,9790000000000,Ravinder Singh,2007.0,I Too Had A Love Story,I Too Had a Love Story,3.64,24307
25051,64401480,9780000000000,"Betty MacDonald, Alexandra Boiger",1947.0,Mrs. Piggle-Wiggle,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",4.16,44068
58962,312941919,9780000000000,Michael Connelly,1997.0,Trunk Music,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",4.15,34702
18505796,62265423,9780000000000,Dan   Harris,2014.0,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works","10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",3.93,33969
32504,446690449,9780000000000,Michael Connelly,1998.0,Blood Work,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1)",4.11,34296
41821,1857989341,9780000000000,Isaac Asimov,1972.0,The Gods Themselves,The Gods Themselves,4.08,35247
13570,345470575,9780000000000,"CLAMP, Anthony Gerard",2004.0,ツバサ-RESERVoir CHRoNiCLE- 1,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 01",4.12,34661
297627,1563898586,9780000000000,"Alan Moore, Kevin O'Neill",2000.0,"The League of Extraordinary Gentlemen, Vol. I","The League of Extraordinary Gentlemen, Vol. 1",3.93,40404
169756,763622591,9780000000000,M.T. Anderson,2002.0,Feed,Feed,3.54,42426
752900,486275485,9780000000000,"Euripides, Rex Warner",-431.0,Mήδεια,Medea,3.83,40237
6342491,1423118235,9780000000000,Cinda Williams Chima,2009.0,The Demon King,"The Demon King (Seven Realms, #1)",4.2,46756
38333,037542380X,9780000000000,Charles Burns,1995.0,Black Hole,Black Hole,3.83,33070
19358975,1607069318,9780000000000,"Brian K. Vaughan, Fiona Staples",2014.0,"Saga, Volume Three","Saga, Vol. 3 (Saga, #3)",4.56,47549
20263040,804178747,9780000000000,Lee Child,2014.0,Personal,"Personal (Jack Reacher, #19)",3.9,19107
15994634,1250028647,9780000000000,Therese Anne Fowler,2013.0,Z: A Novel of Zelda Fitzgerald,Z: A Novel of Zelda Fitzgerald,3.82,27563
4979,081297736X,9780000000000,Kurt Vonnegut Jr.,2005.0,A Man Without a Country,A Man Without a Country,4.07,29859
25893693,1101883073,9780000000000,Martha Hall Kelly,2016.0,Lilac Girls,Lilac Girls,4.31,42421
552894,316017701,9780000000000,"James Patterson, Maxine Paetro",2008.0,7th Heaven,"7th Heaven (Women's Murder Club, #7)",4.06,38503
23664710,593073894,9780000000000,Lee Child,2015.0,Make Me,"Make Me (Jack Reacher, #20)",3.95,20999
18428067,770436420,9780000000000,Anthony Marra,2013.0,A Constellation of Vital Phenomena,A Constellation of Vital Phenomena,4.13,23374
13414676,307594033,9780000000000,Will Schwalbe,2012.0,The End of Your Life Bookclub,The End of Your Life Book Club,3.81,35412
1814843,174166134X,9780000000000,John Flanagan,2006.0,The Siege of Macindaw,"The Siege of Macindaw (Ranger's Apprentice, #6)",4.33,37607
49221,60652381,9780000000000,C.S. Lewis,1961.0,A Grief Observed,A Grief Observed,4.26,35913
22416,1563894459,9780000000000,"Warren Ellis, Darick Robertston, Garth Ennis",1998.0,"Transmetropolitan, Vol. 1: Back on the Street","Transmetropolitan, Vol. 1: Back on the Street (Transmetropolitan, #1)",4.23,30790
13833,1416903372,9780000000000,Tamora Pierce,1994.0,"Emperor Mage (Immortals, #3)","Emperor Mage (Immortals, #3)",4.3,44115
8099187,307590615,9780000000000,George W. Bush,2010.0,Decision Points,Decision Points,3.77,28943
386286,64400581,9780000000000,"Jean Craighead George, John Schoenherr",1972.0,Julie of the Wolves,"Julie of the Wolves (Julie of the Wolves, #1)",3.79,46442
37743,033039780X,9780000000000,Judy Blume,1975.0,Forever . . .,Forever . . .,3.63,42164
22609391,1476728747,9780000000000,David McCullough,2015.0,The Wright Brothers,The Wright Brothers,4.16,35786
3147367,1400063256,9780000000000,Jon Meacham,2008.0,American Lion: Andrew Jackson in the White House,American Lion: Andrew Jackson in the White House,3.76,32564
15842230,446573051,9780000000000,David Baldacci,2012.0,The Forgotten,"The Forgotten (John Puller, #2)",4.07,27953
16065004,765378558,9780000000000,Brandon Sanderson,2015.0,Shadows of Self,"Shadows of Self (Mistborn, #5)",4.3,32170
17262155,345807952,9780000000000,Helen Fielding,2013.0,Mad About the Boy,"Mad About the Boy (Bridget Jones, #3)",3.32,30713
30633,6280897,9780000000000,C.S. Lewis,1960.0,The Four Loves,The Four Loves,4.16,29684
11010251,042524413X,9780000000000,Alyson Richman,2011.0,The Lost Wife,The Lost Wife,4.2,33427
10505,847826465,9780000000000,"Umberto Eco, Girolamo De Michele, Alastair McEwen",2004.0,Storia della bellezza,History of Beauty,3.77,33893
18765,067972477X,9780000000000,Robert Graves,1934.0,"I, Claudius","I, Claudius (Claudius, #1)",4.27,38484
13326831,547959109,9780000000000,Joelle Charbonneau,2013.0,The Testing,"The Testing (The Testing, #1)",4.05,38142
17908462,345542886,9780000000000,Janet Evanovich,2013.0,Takedown Twenty,"Takedown Twenty (Stephanie Plum, #20)",3.75,36002
13628209,1469984016,9780000000000,Kirsty Moseley,2011.0,The Boy Who Sneaks in My Bedroom Window,The Boy Who Sneaks in My Bedroom Window,3.95,50929
13829,037581468X,9780000000000,Tamora Pierce,2006.0,Terrier,"Terrier (Beka Cooper, #1)",4.16,48028
8788554,312662750,9780000000000,Darynda Jones,2011.0,First Grave on the Right,"First Grave on the Right (Charley Davidson, #1)",4.07,50689
18039963,1451651694,9780000000000,"Amanda Lindhout, Sara Corbett",2013.0,A House in the Sky,A House in the Sky,4.2,29369
9615347,1596437138,9780000000000,Vera Brosgol,2011.0,Anya's Ghost,Anya's Ghost,3.88,39477
9912,067978148X,9780000000000,Bret Easton Ellis,1987.0,The Rules of Attraction,The Rules of Attraction,3.71,29456
30262,60572973,9780000000000,Kim Harrison,2005.0,"The Good, the Bad, and the Undead","The Good, the Bad, and the Undead (The Hollows, #2)",4.26,49321
66693,786942460,9780000000000,R.A. Salvatore,1988.0,The Crystal Shard,"The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)",4.13,32300
44597,140274219,9780000000000,Jean Rhys,1966.0,Wide Sargasso Sea,Wide Sargasso Sea,3.56,21053
16286,316296198,9780000000000,John Fowles,1965.0,The Magus,The Magus,4.04,32914
189811,552148032,9780000000000,David Eddings,1988.0,King of the Murgos,"King of the Murgos (The Malloreon, #2)",4.1,40098
20821614,1476785597,9780000000000,Caroline Kepnes,2014.0,You,"You (You, #1)",3.83,36383
13618440,316134074,9780000000000,Laini Taylor,2014.0,Dreams of Gods & Monsters,"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",4.23,47315
1205297,385525001,9780000000000,John Grisham,2007.0,Playing For Pizza,Playing for Pizza,3.41,34577
9284655,1402784031,9780000000000,Colleen Houck,2011.0,Tiger's Curse,"Tiger's Curse (The Tiger Saga, #1)",4.07,46077
105,441102670,9780000000000,Frank Herbert,1985.0,Chapterhouse: Dune,Chapterhouse: Dune (Dune Chronicles #6),3.89,34822
20821284,399252517,9780000000000,Jacqueline Woodson,2014.0,Brown Girl Dreaming,Brown Girl Dreaming,4.11,33779
7094569,316081051,9780000000000,Mira Grant,2010.0,Feed,"Feed (Newsflesh Trilogy, #1)",3.86,38956
3476,142000205,9780000000000,Gwyn Hyman Rubio,1998.0,Icy Sparks,Icy Sparks,3.68,34128
77394,553213180,9780000000000,L.M. Montgomery,1917.0,Rainbow Valley,"Anne's House of Dreams (Anne of Green Gables, #5)",4.12,57062
75024,345476166,9780000000000,Steve Berry,2006.0,The Templar Legacy,"The Templar Legacy (Cotton Malone, #1)",3.81,35804
89165,449000656,9780000000000,Sue Grafton,1993.0,J is for Judgment (Kinsey Millhone #10),"J is for Judgment (Kinsey Millhone, #10)",4.01,39214
4836308,1401340903,9780000000000,Katherine Howe,2009.0,The Physick Book of Deliverance Dane,The Physick Book of Deliverance Dane,3.7,41284
55401,765310023,9780000000000,Steven Erikson,2000.0,Deadhouse Gates,"Deadhouse Gates (The Malazan Book of the Fallen, #2)",4.25,34042
17983690,1743342373,9780000000000,Kylie Scott,2013.0,Lick,"Lick (Stage Dive, #1)",4.15,54585
2315892,575082453,9780000000000,Joe Abercrombie,2009.0,Best Served Cold,Best Served Cold,4.16,36268
18635113,62309668,9780000000000,Emma Healey,2014.0,Elizabeth Is Missing,Elizabeth Is Missing,3.7,26931
154424,1416505016,9780000000000,Vince Flynn,2005.0,Consent to Kill,"Consent to Kill (Mitch Rapp, #8)",4.36,30675
8171378,679444327,9780000000000,Isabel Wilkerson,2010.0,The Warmth of Other Suns: The Epic Story of America's Great Migration ,The Warmth of Other Suns: The Epic Story of America's Great Migration,4.31,31308
20706317,316399620,9780000000000,Claire North,2014.0,The First Fifteen Lives of Harry August,The First Fifteen Lives of Harry August,4.04,22327
11366,345476093,9780000000000,"Barbara W. Tuchman, Robert K. Massie",1962.0,The Guns of August,The Guns of August,4.18,35147
937249,671047345,9780000000000,Vince Flynn,2001.0,Separation of Power,"Separation of Power (Mitch Rapp, #5)",4.32,30081
71865,439829100,9780000000000,John Marsden,1993.0,"Tomorrow, When the War Began","Tomorrow, When the War Began (Tomorrow, #1)",4.05,36501
6514074,1599951495,9780000000000,"Robert M. Edsel, Bret Witter",2009.0,"Monuments Men: Allied Heroes, Nazi Thieves and the Greatest Treasure Hunt in History ","The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History",3.75,30583
18140047,374346674,9780000000000,Ava Dellaira,2014.0,Love Letters to the Dead,Love Letters to the Dead,3.82,38701
27071490,1101947136,9780000000000,Yaa Gyasi,2016.0,Homegoing,Homegoing,4.41,41524
7237456,393068471,9780000000000,Mary Roach,2010.0,Packing for Mars: The Curious Science of Life in the Void ,Packing for Mars: The Curious Science of Life in the Void,3.93,35724
3410425,446195502,9780000000000,David Baldacci,2008.0,Divine Justice,"Divine Justice (Camel Club, #4)",4.17,35071
3918010,785132619,9780000000000,"Mark Millar, John Romita Jr., Rob Liefeld",2010.0,Kick-Ass,"Kick-Ass (Kick-Ass, #1)",4.04,30688
408615,1401908977,9780000000000,"Immaculée Ilibagiza, Steve Erwin",2006.0,Left to Tell: Discovering God Amidst the Rwandan Holocaust,Left to Tell: Discovering God Amidst the Rwandan Holocaust,4.43,30270
6686101,61449121,9780000000000,Michael  Grant,2011.0,Plague,"Plague (Gone, #4)",4.18,38819
5344,321107217,9780000000000,Charles Dickens,1854.0,Hard Times: For These Times,Hard Times,3.5,34675
16033842,2877068161,9780000000000,Joël Dicker,2011.0,La Vérité sur l'affaire Harry Quebert,La Vérité sur l'affaire Harry Quebert,3.94,14610
3722183,316176532,9780000000000,Kate Atkinson,2015.0,A God in Ruins,A God in Ruins,3.92,26604
46202,373802498,9780000000000,Maria V. Snyder,2006.0,Magic Study,"Magic Study (Study, #2)",4.06,48234
667985,1931514925,9780000000000,"CLAMP, Shirley Kubo",2001.0,ちょびっツ #1,"Chobits, Vol. 1",4.05,34149
57891,156931778X,9780000000000,"Koushun Takami, Yuji Oniki",1999.0,バトル・ロワイアル,Battle Royale,4.24,35641
5126859,553807218,9780000000000,Sarah Addison Allen,2010.0,The Girl Who Chased the Moon,The Girl Who Chased the Moon,3.97,41049
107301,1842323008,9780000000000,Nevil Shute,1950.0,A Town Like Alice,A Town Like Alice,4.12,36007
2485785,778325318,9780000000000,Diane Chamberlain,2006.0,The Secret Life Of CeeCee Wilkes,The Secret Life of CeeCee Wilkes,4.09,32490
188230,445406518,9780000000000,Elizabeth Peters,1975.0,Crocodile on the Sandbank,Crocodile on the Sandbank (Amelia Peabody #1),4.02,44395
6070950,425230074,9780000000000,Nora Roberts,2009.0,Bed of Roses,"Bed of Roses (Bride Quartet, #2)",4.11,45089
19670,425147584,9780000000000,Tom Clancy,1994.0,Debt of Honor,"Debt of Honor (Jack Ryan Universe, #8)",4.03,34952
17343,156904365,9780000000000,C.S. Lewis,1956.0,Till We Have Faces,Till We Have Faces,4.19,36758
224500,142406120,9780000000000,Anthony Horowitz,2001.0,Point Blanc,"Point Blank (Alex Rider, #2)",4.1,39296
93794,451209338,9780000000000,Daniel Silva,2000.0,The Kill Artist,"The Kill Artist (Gabriel Allon, #1)",4.0,31579
490867,1844280594,9780000000000,Mo Willems,2004.0,Knuffle Bunny:  A Cautionary Tale,"Knuffle Bunny: A Cautionary Tale (Knuffle Bunny, #1)",4.26,37886
47558,747541604,9780000000000,Edward Gorey,1963.0,The Gashlycrumb Tinies,"The Gashlycrumb Tinies (The Vinegar Works, #1)",4.23,37054
13147230,62067753,9780000000000,"Terry Pratchett, Stephen Baxter",2012.0,The Long Earth,"The Long Earth (The Long Earth, #1)",3.74,32313
1319,446691437,9780000000000,"Steven Pressfield, Robert McKee",2002.0,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,4.07,31399
11438,679723056,9780000000000,Raymond Carver,1981.0,What We Talk About When We Talk About Love: Stories,What We Talk About When We Talk About Love,4.22,29807
104379,670061107,9780000000000,Sarah Dessen,1996.0,That Summer,That Summer,3.49,43723
10790290,316187747,9780000000000,Michael J. Sullivan,2011.0,Theft of Swords,"Theft of Swords (The Riyria Revelations, #1-2)",4.21,33076
17286747,1250010691,9780000000000,Diane Chamberlain,2013.0,Necessary Lies,"Necessary Lies (Necessary Lies, #1)",4.21,32761
218467,449208133,9780000000000,"Larry Niven, Jerry Pournelle",1977.0,Lucifer's Hammer,Lucifer's Hammer,3.98,33228
114144,425205754,9780000000000,Nora Roberts,1996.0,Montana Sky,Montana Sky,4.07,36576
31548,451530179,9780000000000,"W. Somerset Maugham, Benjamin DeMott, Maeve Binchy",1915.0,Of Human Bondage,Of Human Bondage,4.11,33028
18879761,451471474,9780000000000,Gayle Forman,2015.0,I Was Here,I Was Here,3.78,38196
116296,61161640,9780000000000,Terry Pratchett,2007.0,Making Money,"Making Money (Discworld, #36; Moist Von Lipwig, #2)",4.23,39419
7074000,1423368991,9780000000000,Nora Roberts,2010.0,Happy Ever After,"Happy Ever After (Bride Quartet, #4)",4.17,40323
10908,140230270,9780000000000,Jodi Picoult,1993.0,Harvesting the Heart,Harvesting the Heart,3.59,35064
16150830,1423157516,9780000000000,Alexandra Bracken,2013.0,Never Fade,"Never Fade (The Darkest Minds, #2)",4.33,46332
3257136,446407410,9780000000000,"Vicki Myron, Bret Witter",2008.0,Dewey: The Small-Town Library Cat Who Touched the World,Dewey: The Small-Town Library Cat Who Touched the World,3.85,40356
16248113,62104896,9780000000000,Soman Chainani,2013.0,The School for Good and Evil,"The School for Good and Evil (The School for Good and Evil, #1)",4.0,35890
30259,60788380,9780000000000,Kim Harrison,2007.0,For a Few Demons More ,"For a Few Demons More (The Hollows, #5)",4.33,44879
20821043,670026328,9780000000000,Tana French,2014.0,The Secret Place,"The Secret Place (Dublin Murder Squad, #5)",3.83,30834
6604209,076536543X,9780000000000,Brandon Sanderson,2009.0,Mistborn Trilogy Boxed Set,"Mistborn Trilogy Boxed Set (Mistborn, #1-3)",4.55,22917
6545536,545060486,9780000000000,Gordon Korman,2010.0,The Emperor's Code,"The Emperor's Code (The 39 Clues, #8)",4.04,36068
11082037,316069418,9780000000000,Michael Connelly,2011.0,The Drop,"The Drop (Harry Bosch, #17; Harry Bosch Universe, #21)",4.14,32426
500503,189221301X,646000000000,Naoko Takeuchi,1992.0,美少女戦士セーラームーン 1 [Bishōjo Senshi Sailor Moon 1],"Sailor Moon, #1 (Sailor Moon, #1)",4.29,34951
13436373,545326990,9780000000000,"Raina Telgemeier, Gurihiru",2012.0,Drama,Drama,4.14,42759
3110,074326004X,9780000000000,Sarah Vowell,2005.0,Assassination Vacation,Assassination Vacation,3.98,32176
92121,380014300,9780000000000,Roger Zelazny,1970.0,Nine Princes in Amber,Nine Princes in Amber (The Chronicles of Amber #1),4.1,37961
18144053,1451693567,9780000000000,Alice Hoffman,2014.0,The Museum of Extraordinary Things,The Museum of Extraordinary Things,3.73,29805
3220405,765304961,9780000000000,Orson Scott Card,2008.0,"Ender in Exile (The Ender Quintet, #2)","Ender in Exile (Ender's Saga, #1.2)",3.89,29389
421129,042519485X,9780000000000,MaryJanice Davidson,2004.0,Undead and Unwed,"Undead and Unwed (Undead, #1)",3.81,45634
4005,722536542,9780000000000,Paulo Coelho,1996.0,O Monte Cinco,The Fifth Mountain,3.61,26060
35519,385418868,9780000000000,"Joseph Campbell, Bill Moyers",1988.0,The Power of Myth,The Power of Myth,4.3,32337
21418013,765375869,9780000000000,John Scalzi,2014.0,Lock In,"Lock In (Lock In, #1)",3.85,31073
17380041,385351232,9780000000000,Jo Baker,2013.0,Longbourn,Longbourn,3.62,32744
21412202,1476764026,9780000000000,"Cary Elwes, Joe Layden, Various, Rob Reiner",2014.0,As You Wish: Inconceivable Tales from the Making of The Princess Bride,As You Wish: Inconceivable Tales from the Making of The Princess Bride,4.08,31886
13522285,62217135,9780000000000,Robyn Schneider,2013.0,"Severed Heads, Broken Hearts",The Beginning of Everything,3.78,35150
6389704,054506046X,9780000000000,Jude Watson,2009.0,"In Too Deep (The 39 Clues, Book 6)","In Too Deep (The 39 Clues, #6)",4.02,35694
138269,1840187166,9780000000000,"Frank W. Abagnale, Stan Redding",1980.0,Catch Me If You Can,Catch Me If You Can: The True Story of a Real Fake,4.05,32048
30248,515133876,9780000000000,Laurell K. Hamilton,2001.0,"Narcissus in Chains (Anita Blake, Vampire Hunter, #10)","Narcissus in Chains (Anita Blake, Vampire Hunter, #10)",3.89,46567
16099159,345545834,9780000000000,J. Kenner,2013.0,Claim Me,"Claim Me (Stark Trilogy, #2)",4.21,42238
